Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Voice,Polyphony Mode,CC,3,0:2,2,0=Mono  1=Mono AG  2=Poly,,,,,,
Voice,Portamento Rate,CC,5,0:127,0,,,,,,,
Voice,Pre-Glide,CC,9,52:76 (-12:12),64,(0),,,,,,
Voice,Keyboard Octave,CC,13,58:69 (-6:5),64,(0),60=-4 Octaves  64=0 Octaves  68=+4 Octaves,,,,,
Oscillator,osc 1 wave,CC,19,0:29,2,See Osc Waveform Table,,,,,,
Oscillator,osc 1 wave interpolate,CC,20,0:127,0,,,,,,,
Oscillator,osc 1 pulse width index,CC,21,0:127 (-64:63),127 (63),,,,,,,
Oscillator,osc 1 virtual sync depth,CC,22,0:127,0,,,,,,,
Oscillator,osc 1 density,CC,24,0:127,0,,,,,,,
Oscillator,osc 1 density detune,CC,25,0:127,0,,,,,,,
Oscillator,osc 1 semitones,CC,26,0:127 (-64:63),64,(0),,,,,,
Oscillator,osc 1 cents,CC,27,0:127 (-64:63),64,(0),,,,,,
Oscillator,osc 1 pitchbend,CC,28,52:76 (-12:12),76 (12),,,,,,,
Oscillator,osc 2 wave,CC,29,0:29,2,See Osc Waveform Table,,,,,,
Oscillator,osc 2 wave interpolate,CC,30,0:127,0,,,,,,,
Oscillator,osc 2 pulse width index,CC,31,0:127 (-64:63),127 (63),,,,,,,
Oscillator,osc 2 virtual sync depth,CC,33,0:127,0,,,,,,,
Oscillator,osc 2 density,CC,35,0:127,0,,,,,,,
Oscillator,osc 2 density detune,CC,36,0:127,0,,,,,,,
Oscillator,osc 2 semitones,CC,37,0:127 (-64:63),64,(0),,,,,,
Oscillator,osc 2 cents,CC,39,0:127 (-64:63),64,(0),,,,,,
Oscillator,osc 2 pitchbend,CC,40,52:76 (-12:12),76 (12),,,,,,,
Mixer,osc 1 level,CC,51,0:127,127,,,,,,,
Mixer,osc 2 level,CC,52,0:127,0,,,,,,,
Mixer,ring mod level,CC,54,0:127,0,,,,,,,
Mixer,noise level,CC,56,0:127,0,,,,,,,
Mixer,pre FX level,CC,58,52:82 (-12:18),64,(0),-12 to +18 dB,,,,,
Mixer,post FX level,CC,59,52:82 (-12:18),64,(0),-12 to +18 dB,,,,,
Filter,routing,CC,60,0:2,0,"0=Normal 1=Osc 1 bypasses the filter 2=Osc 1 + Osc 2 bypasses the filter ",,,,,,
Filter,drive,CC,63,0:127,0,,,,,,,
Filter,drive type,CC,65,0:6,0,See Filter Table,,,,,,
Filter,type,CC,68,0:5,1,,,,,,,
Filter,frequency,CC,74,0:127,127,,,,,,,
Filter,tracking,CC,69,0:127,127,,,,,,,
Filter,resonance,CC,71,0:127,0,,,,,,,
Filter,Q normalize,CC,78,0:127,64,,,,,,,
Filter,env 2 to frequency,CC,79,0:127 (-64:63),64,(0),,,,,,
