Address,Default,Min,Max,Parameter,Bitshift
0,73,-,-,Patch_Name,
1,110,-,-,Patch_Name,
2,105,-,-,Patch_Name,
3,116,-,-,Patch_Name,
4,105,-,-,Patch_Name,
5,97,-,-,Patch_Name,
6,108,-,-,Patch_Name,
7,32,-,-,Patch_Name,
8,80,-,-,Patch_Name,
9,97,-,-,Patch_Name,
10,116,-,-,Patch_Name,
11,99,-,-,Patch_Name,
12,104,-,-,Patch_Name,
13,32,-,-,Patch_Name,
14,32,-,-,Patch_Name,
15,32,-,-,Patch_Name,
16,0,0,14,Patch_Category,
17,0,0,9,Patch_Genre,
18,0,-,-,Patch_Reserved1,
19,0,-,-,Patch_Reserved2,
20,0,-,-,Patch_Reserved3,
21,0,-,-,Patch_Reserved4,
22,0,-,-,Patch_Reserved5,
23,0,-,-,Patch_Reserved6,
24,0,-,-,Patch_Reserved7,
25,0,-,-,Patch_Reserved8,
26,0,-,-,Patch_Reserved9,
27,0,-,-,Patch_Reserved10,
28,0,-,-,Patch_Reserved11,
29,0,-,-,Patch_Reserved12,
30,0,-,-,Patch_Reserved13,
31,0,-,-,Patch_Reserved14,
32,2,0,2,Voice_PolyphonyMode,
33,0,0,127,Voice_PortamentoRate,
34,64,52,76,Voice_PreGlide,
35,64,58,69,Voice_KeyboardOctave,
36,2,0,29,Osc1_Wave,
37,127,0,127,Osc1_WaveInterpolate,
38,64,0,127,Osc1_PulseWidthIndex,
39,0,0,127,Osc1_VirtualSyncDepth,
40,0,0,127,Osc1_Density,
41,0,0,127,Osc1_DensityDetune,
42,64,0,127,Osc1_Semitones,
43,64,0,127,Osc1_Cents,
44,76,52,76,Osc1_PitchBend,
45,2,0,29,Osc2_Wave,
46,127,0,127,Osc2_WaveInterpolate,
47,64,0,127,Osc2_PulseWidthIndex,
48,0,0,127,Osc2_VirtualSyncDepth,
49,0,0,127,Osc2_Density,
50,0,0,127,Osc2_DensityDetune,
51,64,0,127,Osc2_Semitones,
52,64,0,127,Osc2_Cents,
53,76,52,76,Osc2_PitchBend,
54,127,0,127,Mixer_Osc1Level,
55,0,0,127,Mixer_Osc2Level,
56,0,0,127,Mixer_RingModLevel12,
57,0,0,127,Mixer_NoiseLevel,
58,64,52,82,Mixer_PreFXLevel,
59,64,52,82,Mixer_PostFXLevel,
60,0,0,2,Filter_Routing,
61,0,0,127,Filter_Drive,
62,0,0,6,Filter_DriveType,
63,1,0,5,Filter_Type,
64,127,0,127,Filter_Frequency,
